iter	Passed	Remaining
532	8630	7561
533	8646	7545
534	8663	7530
535	8680	7514
536	8698	7500
537	8716	7485
538	8736	7472
539	8757	7460
540	8777	7447
541	8797	7434
542	8817	7420
543	8835	7406
544	8854	7392
545	8872	7377
546	8890	7363
547	8909	7348
548	8927	7333
549	8945	7319
550	8964	7304
551	8981	7289
552	8998	7273
553	9015	7257
554	9033	7242
555	9050	7227
556	9068	7212
557	9085	7196
558	9102	7181
559	9120	7165
560	9138	7150
561	9155	7135
562	9172	7120
563	9189	7104
564	9206	7088
565	9224	7073
566	9240	7056
567	9257	7041
568	9275	7025
569	9291	7009
570	9309	6994
571	9327	6979
572	9345	6964
573	9362	6948
574	9380	6933
575	9398	6918
576	9415	6902
577	9434	6887
578	9451	6872
579	9469	6857
580	9486	6841
581	9503	6825
582	9521	6810
583	9539	6795
584	9557	6780
585	9575	6765
586	9592	6749
587	9611	6734
588	9628	6718
589	9646	6703
590	9664	6688
591	9682	6673
592	9699	6657
593	9717	6641
594	9735	6626
595	9753	6611
596	9770	6595
597	9789	6581
598	9808	6566
599	9827	6551
600	9847	6537
601	9864	6522
602	9882	6506
603	9898	6490
604	9915	6473
605	9932	6457
606	9949	6441
607	9965	6425
608	9981	6408
609	9998	6392
610	10015	6376
611	10031	6359
612	10046	6342
613	10063	6326
614	10078	6309
615	10095	6293
616	10111	6276
617	10126	6259
618	10143	6243
619	10160	6227
620	10177	6211
621	10194	6195
622	10210	6178
623	10228	6163
624	10245	6147
625	10261	6130
626	10277	6114
627	10294	6098
628	10311	6082
629	10328	6065
630	10346	6050
631	10364	6034
632	10381	6019
633	10399	6003
634	10416	5987
635	10434	5971
636	10450	5955
637	10467	5939
638	10483	5922
639	10499	5906
640	10516	5889
641	10532	5873
642	10549	5857
643	10564	5840
644	10581	5823
645	10597	5807
646	10613	5790
647	10630	5774
648	10648	5759
649	10666	5743
650	10683	5727
651	10699	5710
652	10715	5694
653	10733	5678
654	10749	5661
655	10767	5646
656	10784	5630
657	10800	5613
658	10818	5598
659	10835	5581
660	10853	5566
661	10871	5550
662	10889	5534
663	10910	5520
664	10928	5505
665	10944	5488
666	10961	5472
667	10978	5456
668	10995	5440
669	11012	5423
670	11030	5408
671	11047	5392
672	11063	5375
673	11080	5359
674	11096	5342
675	11114	5326
676	11130	5310
677	11147	5294
678	11164	5278
679	11180	5261
680	11196	5244
681	11212	5228
682	11228	5211
683	11248	5196
684	11267	5181
685	11286	5166
686	11307	5151
687	11326	5136
688	11348	5122
689	11368	5107
690	11385	5091
691	11403	5075
692	11422	5060
693	11441	5044
694	11458	5028
695	11475	5012
696	11492	4996
697	11511	4980
698	11526	4963
699	11542	4946
700	11559	4930
701	11576	4914
702	11594	4898
703	11611	4882
704	11628	4865
705	11644	4849
706	11663	4833
707	11678	4816
708	11696	4800
709	11712	4784
710	11730	4768
711	11748	4752
712	11764	4735
713	11781	4719
714	11798	4702
715	11816	4686
716	11832	4670
717	11849	4654
718	11866	4637
719	11883	4621
720	11901	4605
721	11920	4589
722	11936	4573
723	11955	4557
724	11974	4541
725	11993	4526
726	12009	4509
727	12027	4493
728	12043	4477
729	12061	4460
730	12079	4445
731	12096	4428
732	12113	4412
733	12131	4396
734	12148	4379
735	12165	4363
736	12182	4347
737	12200	4331
738	12217	4314
739	12234	4298
740	12251	4282
741	12268	4265
742	12285	4249
743	12305	4234
744	12322	4217
745	12342	4202
746	12360	4186
747	12378	4170
748	12396	4154
749	12412	4137
750	12429	4121
751	12446	4104
752	12463	4088
753	12480	4071
754	12498	4055
755	12516	4039
756	12532	4022
757	12548	4006
758	12564	3989
759	12581	3972
760	12598	3956
761	12616	3940
762	12633	3924
763	12651	3907
764	12667	3891
765	12684	3874
766	12700	3858
767	12717	3841
768	12734	3825
769	12752	3809
770	12768	3792
771	12785	3775
772	12802	3759
773	12818	3742
774	12836	3726
775	12853	3710
776	12870	3693
777	12888	3677
778	12905	3661
779	12921	3644
780	12951	3631
781	12967	3615
782	12984	3598
783	13002	3582
784	13020	3566
785	13038	3549
786	13054	3533
787	13071	3516
788	13086	3499
789	13103	3483
790	13119	3466
791	13136	3449
792	13152	3433
793	13169	3416
794	13186	3400
795	13202	3383
796	13220	3367
797	13238	3351
798	13255	3334
799	13272	3318
800	13289	3301
801	13306	3285
802	13322	3268
803	13340	3252
804	13357	3235
805	13374	3219
806	13391	3202
807	13408	3186
808	13426	3169
809	13443	3153
810	13459	3136
811	13478	3120
812	13496	3104
813	13514	3088
814	13533	3071
815	13551	3055
816	13570	3039
817	13588	3023
818	13604	3006
819	13623	2990
820	13641	2974
821	13659	2957
822	13675	2941
823	13692	2924
824	13709	2908
825	13727	2891
826	13743	2874
827	13761	2858
828	13777	2841
829	13795	2825
830	13813	2809
831	13830	2792
832	13846	2775
833	13863	2759
834	13879	2742
835	13895	2725
836	13910	2709
837	13926	2692
838	13943	2675
839	13959	2659
840	13975	2642
841	13991	2625
842	14007	2608
843	14031	2593
844	14048	2576
845	14064	2560
846	14081	2543
847	14097	2526
848	14114	2510
849	14131	2493
850	14146	2476
851	14163	2460
852	14180	2443
853	14196	2427
854	14212	2410
855	14227	2393
856	14242	2376
857	14258	2359
858	14274	2343
859	14290	2326
860	14306	2309
861	14322	2292
862	14339	2276
863	14354	2259
864	14369	2242
865	14384	2225
866	14399	2208
867	14414	2192
868	14429	2175
869	14444	2158
870	14460	2141
871	14474	2124
872	14490	2107
873	14505	2091
874	14521	2074
875	14536	2057
876	14552	2040
877	14567	2024
878	14583	2007
879	14597	1990
880	14613	1973
881	14631	1957
882	14649	1941
883	14666	1924
884	14682	1907
885	14699	1891
886	14716	1874
887	14732	1858
888	14747	1841
889	14762	1824
890	14778	1807
891	14794	1791
892	14809	1774
893	14825	1757
894	14841	1741
895	14856	1724
896	14872	1707
897	14887	1691
898	14903	1674
899	14919	1657
900	14934	1640
901	14950	1624
902	14966	1607
903	14980	1590
904	14998	1574
905	15015	1557
906	15031	1541
907	15048	1524
908	15065	1508
909	15081	1491
910	15099	1475
911	15115	1458
912	15130	1441
913	15148	1425
914	15165	1408
915	15181	1392
916	15199	1375
917	15216	1359
918	15232	1342
919	15247	1325
920	15262	1309
921	15276	1292
922	15292	1275
923	15309	1259
924	15325	1242
925	15340	1225
926	15354	1209
927	15369	1192
928	15384	1175
929	15398	1159
930	15414	1142
931	15429	1125
932	15445	1109
933	15461	1092
934	15475	1075
935	15490	1059
936	15506	1042
937	15522	1025
938	15538	1009
939	15552	992
940	15568	976
941	15584	959
942	15599	942
943	15616	926
944	15633	909
945	15648	893
946	15663	876
947	15680	860
948	15696	843
949	15712	826
950	15730	810
951	15747	793
952	15764	777
953	15781	760
954	15798	744
955	15815	727
956	15832	711
957	15848	694
958	15865	678
959	15882	661
960	15899	645
961	15915	628
962	15930	612
963	15945	595
964	15961	578
965	15977	562
966	15993	545
967	16008	529
968	16023	512
969	16038	496
970	16054	479
971	16070	462
972	16086	446
973	16104	429
974	16120	413
975	16136	396
976	16152	380
977	16166	363
978	16182	347
979	16198	330
980	16214	314
981	16232	297
982	16249	281
983	16267	264
984	16284	247
985	16299	231
986	16314	214
987	16330	198
988	16347	181
989	16362	165
990	16378	148
991	16394	132
992	16409	115
993	16426	99
994	16442	82
995	16457	66
996	16473	49
997	16490	33
998	16505	16
999	16520	0
